REF	ETUD	LOCA	REG	DPT	COM	INSEE	TICO	ADRS	STAT	AFFE	PPRO	DPRO	AUTR	SCLE	
PA00079261	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Verseilles-le-Bas	Champagne-Ardenne	52	Verseilles-le-Bas	52515	Croix Renaissance dans le cimetière		Propriété de la commune		Croix Renaissance : inscription par arrêté du 3 novembre 1925	1925/11/03 : inscrit MH		15e siècle	
PA00079260	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Verbiesles	Champagne-Ardenne	52	Verbiesles	52514	Château du Val-des-Escholiers		Propriété d'une personne privée		Portail d'entrée : inscription par arrêté du 13 juillet 1926	1926/07/13 : inscrit MH	BOUCHARDON (maître de l'oeuvre)	18e siècle	
PA00079259	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vaux-sous-Aubigny	Champagne-Ardenne	52	Vaux-sous-Aubigny	52509	Eglise Saint-Symphorien d'Aubigny		propriété de la commune		L'église : classement par arrêté du 21 février 1914	1914/02/21 : classé MH		milieu 12e siècle	
PA00079258	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vals-des-Tilles	Champagne-Ardenne	52	Vals-des-Tilles	52094	Eglise de Villemervry		Propriété de la commune		Eglise de Villemervry : inscription par arrêté du 1er février 1929	1929/02/01 : inscrit MH			
PA00079257	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Vals-des-Tilles	Champagne-Ardenne	52	Vals-des-Tilles	52094	Eglise		Propriété de la commune		Deux travées du choeur et chapelle attenante au choeur : inscription par arrêté du 15 janvier 1929	1929/01/15 : inscrit MH		4e quart 13e siècle	
PA00079256	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Le Val-d'Esnoms	Champagne-Ardenne	52	Val-d'Esnoms (Le)	52189	Château de Chatoillenot		Propriété d'une personne privée		Château 18s en totalité ; portail d'entrée avec sa grille en fer forgé ; mur de soutènement de la terrasse ; façade et toiture du petit pavillon situé au sud du portail ; petit pont du parc au-dessus du passage piétonnier (cad. C 117) : inscription par arrêté du 26 août 1988	1988/08/26 : inscrit MH		3e quart 18e siècle	
PA00079255	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Val-de-Meuse	Champagne-Ardenne	52	Val-de-Meuse	52332	Eglise de Montigny-le-Roi		Propriété de la commune		Grille du 18s en fer forgé fermant le choeur : inscription par arrêté du 23 décembre 1925	1925/12/23 : inscrit MH		4e quart 18e siècle	
PA00079254	Recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Thonnance-les-Moulins	Champagne-Ardenne	52	Thonnance-les-Moulins	52491	Eglise		Propriété de la commune		Peintures murales représentant la vie de Sainte-Colombe, situées sur la face occidentale du mur qui sépare la nef du sanctuaire (cad. AB 17) : classement par arrêté du 6 mai 1965	1965/05/06 : classé MH			
PA00079253	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Thonnance-les-Moulins	Champagne-Ardenne	52	Thonnance-les-Moulins	52491	Château de Brouthières		propriété d'une personne privée		Les façades et les toitures du château ; le pigeonnier en totalité (cad. 080B 217) : inscription par arrêté du 26 août 1988	1988/08/26 : inscrit MH		18e siècle	
PA00079252	recensement immeubles MH	Champagne-Ardenne ; Haute-Marne ; Terre-Natale	Champagne-Ardenne	52	Terre-Natale	52504	Maison		propriété d'une personne privée		Cheminée 16e siècle au premier étage : inscription par arrêté du 16 juin 1926	1926/06/16 : inscrit MH		16e siècle	
